"","date","trust_code","covid_flag","admitted_pathways","non_admitted_pathways","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_audiology_assessments","barium_enema","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy","computed_tomography","cystoscopy","dexa_scan","flexi_sigmoidoscopy","gastroscopy","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound","respiratory_physiology_sleep_studies","total","urodynamics_pressures_flows","audiology_assessments","ct","echocardiography","electrophysiology","mri","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","operating_theatres","X","occupied_beds","bed_capacity","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","CatchmentYear","trust_total_catchment","date_yr","total_pathways","years_since_covid"
"52",2018 Q2,"REP","pre-covid",1468,5270,14203,2285,6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5002,79.5652173913043,122,0,0,0,0,0,0,2020,84907,2018,6738,"0_yrs"
"53",2018 Q2,"RET","pre-covid",1138,7394,34999,2390,13148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5003,134.532608695652,160.880434782609,0,0,0,0,0,0,2020,48084,2018,8532,"0_yrs"
"54",2018 Q2,"RF4","pre-covid",7208,37034,110725,13769,50728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5119,844.945652173913,973,0,0,0,0,0,0,2020,469775,2018,44242,"0_yrs"
"55",2018 Q2,"RFF","pre-covid",2322,14469,37567,2090,19846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5004,340.423913043478,430.54347826087,0,0,0,0,0,0,2020,195565,2018,16791,"0_yrs"
"56",2018 Q2,"RFR","pre-covid",3691,14103,40822,7487,16541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5005,388.391304347826,435.369565217391,0,0,0,0,0,0,2020,198547,2018,17794,"0_yrs"
"57",2018 Q2,"RFS","pre-covid",3542,12041,47462,6537,19815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5061,422.586956521739,505.95652173913,0,0,0,0,0,0,2020,217643,2018,15583,"0_yrs"
"58",2018 Q2,"RGM","pre-covid",2203,1513,11371,5470,3932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5062,167.75,223.902173913043,0,0,0,0,0,0,2020,128516,2018,3716,"0_yrs"
"59",2018 Q2,"RGN","pre-covid",7064,34475,105975,16629,47111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5063,724.423913043478,907.815217391304,0,0,0,0,0,0,2020,467171,2018,41539,"0_yrs"
"60",2018 Q2,"RGP","pre-covid",4961,7198,40869,10393,14313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5064,359.260869565217,445.086956521739,0,0,0,0,0,0,2020,186944,2018,12159,"0_yrs"
"61",2018 Q2,"RGQ","pre-covid",5223,18559,63354,9362,27402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,23782,"0_yrs"
