,cal_quarter,PROCODE,standard_los
448,Q1   2021,RTH,6.171784045
449,Q1   2021,RTK,6.565843578
450,Q1   2021,RTP,6.958640876
451,Q1   2021,RTR,7.03381665
452,Q1   2021,RTX,7.835598149
453,Q1   2021,RVJ,6.593648274
454,Q1   2021,RVR,7.037285841
455,Q1   2021,RVV,6.88351677
456,Q1   2021,RVW,5.675905165
457,Q1   2021,RVY,6.618734209
458,Q1   2021,RWA,6.69767627
459,Q1   2021,RWD,6.986985196
460,Q1   2021,RWE,6.485140121
461,Q1   2021,RWF,6.093495174
462,Q1   2021,RWG,6.592335143
463,Q1   2021,RWH,6.056087393
464,Q1   2021,RWJ,7.167527955
465,Q1   2021,RWP,5.99067307
466,Q1   2021,RWW,7.372471507
467,Q1   2021,RWY,5.720492075
468,Q1   2021,RX1,6.722992482
469,Q1   2021,RXC,7.646113505
470,Q1   2021,RXF,6.445313707
471,Q1   2021,RXK,6.310334216
472,Q1   2021,RXL,8.065755468
473,Q1   2021,RXN,7.440977457
474,Q1   2021,RXP,6.132489013
475,Q1   2021,RXQ,7.936345151
476,Q1   2021,RXR,7.004582881
477,Q1   2021,RXW,6.187855553
478,Q1   2021,RYJ,7.634238374
479,Q1   2021,RYR,6.797558317
480,Q1   2022,R0A,7.394851654
481,Q1   2022,R0B,6.945895854
482,Q1   2022,R0D,0
483,Q1   2022,R1F,7.148735088
484,Q1   2022,R1H,7.341967373
485,Q1   2022,R1K,6.583724497
486,Q1   2022,RA2,5.686761136
487,Q1   2022,RA4,7.481308452
488,Q1   2022,RA7,6.950634802
489,Q1   2022,RA9,7.604720812
490,Q1   2022,RAE,5.883654128
491,Q1   2022,RAJ,6.946896361
492,Q1   2022,RAL,6.872247413
493,Q1   2022,RAP,9.384939716
494,Q1   2022,RAS,6.829434692
495,Q1   2022,RAX,6.717700492
496,Q1   2022,RBK,6.189205639
497,Q1   2022,RBL,7.859677134
498,Q1   2022,RBN,6.858202013
499,Q1   2022,RBT,7.426963544
500,Q1   2022,RBZ,6.624333494
501,Q1   2022,RC9,6.192855695
502,Q1   2022,RCB,7.255286963
503,Q1   2022,RCD,7.769280984
504,Q1   2022,RCF,6.565051097
505,Q1   2022,RCX,7.050729298
506,Q1   2022,RD1,6.405052566
507,Q1   2022,RD8,7.364064338
508,Q1   2022,RDE,6.701711464
509,Q1   2022,RDU,7.557168109
510,Q1   2022,REF,7.594296534
511,Q1   2022,REM,7.754660474
512,Q1   2022,RF4,7.096746188
513,Q1   2022,RFF,5.567618535
514,Q1   2022,RFR,6.342920253
515,Q1   2022,RFS,5.944363508
516,Q1   2022,RGN,7.520679516
517,Q1   2022,RGP,8.319945775
518,Q1   2022,RGR,7.089815157
519,Q1   2022,RGT,8.334326974
520,Q1   2022,RH5,9.861613708
521,Q1   2022,RH8,7.031492861
522,Q1   2022,RHM,7.294786315
