,cal_quarter,PROCODE,elective_proportion,emergency_proportion
510,Q1   2022,REF,0.204044563,0.795955437
511,Q1   2022,REM,0.157091776,0.842908224
512,Q1   2022,RF4,0.119971882,0.880028118
513,Q1   2022,RFF,0.119920714,0.880079286
514,Q1   2022,RFR,0.096980676,0.903019324
515,Q1   2022,RFS,0.070571857,0.929428143
516,Q1   2022,RGN,0.079367748,0.920632252
517,Q1   2022,RGP,0.11727858,0.88272142
518,Q1   2022,RGR,0.108695652,0.891304348
519,Q1   2022,RGT,0.220024261,0.779975739
520,Q1   2022,RH5,0.113066267,0.886933733
521,Q1   2022,RH8,0.171754712,0.828245288
522,Q1   2022,RHM,0.198893986,0.801106014
523,Q1   2022,RHQ,0.206973444,0.793026556
524,Q1   2022,RHU,0.124930779,0.875069221
525,Q1   2022,RHW,0.151863783,0.848136217
526,Q1   2022,RJ1,0.38304128,0.61695872
527,Q1   2022,RJ2,0.067949489,0.932050511
528,Q1   2022,RJ6,0.153041622,0.846958378
529,Q1   2022,RJ7,0.238735643,0.761264357
530,Q1   2022,RJC,0.113460697,0.886539303
531,Q1   2022,RJE,0.110217484,0.889782516
532,Q1   2022,RJL,0.106523248,0.893476752
533,Q1   2022,RJN,0.065702479,0.934297521
534,Q1   2022,RJR,0.097988654,0.902011346
535,Q1   2022,RJZ,0.21057666,0.78942334
536,Q1   2022,RK5,0.068922546,0.931077454
537,Q1   2022,RK9,0.164436736,0.835563264
538,Q1   2022,RKB,0.156162628,0.843837372
539,Q1   2022,RKE,0.073735726,0.926264274
540,Q1   2022,RL4,0.083689914,0.916310086
541,Q1   2022,RLQ,0.127029953,0.872970047
542,Q1   2022,RLT,0.064894096,0.935105904
543,Q1   2022,RM1,0.203312018,0.796687982
544,Q1   2022,RM3,0.126353468,0.873646532
545,Q1   2022,RMC,0.128261149,0.871738851
546,Q1   2022,RMP,0.068423559,0.931576441
547,Q1   2022,RN3,0.134014423,0.865985577
548,Q1   2022,RN5,0.099598071,0.900401929
549,Q1   2022,RN7,0.148598564,0.851401436
550,Q1   2022,RNA,0.18887689,0.81112311
551,Q1   2022,RNN,0.118343966,0.881656034
552,Q1   2022,RNQ,0.106787212,0.893212788
