CatchmentYear,TrustCode,trust_total_catchment
2013,RWW,250265
2013,RWY,399114
2013,RX1,843019
2013,RXC,334727
2013,RXF,458636
2013,RXK,453021
2013,RXL,268155
2013,RXN,461033
2013,RXP,387347
2013,RXQ,391426
2013,RXR,424322
2013,RXW,332355
2013,RYJ,669517
2013,RYR,896139
2012,R0A,1331422
2012,R0B,457137
2012,R0D,515183
2012,R1F,81498
2012,R1H,1091079
2012,R1K,514619
2012,RA2,324893
2012,RA4,126247
2012,RA7,622457
2012,RA9,228458
2012,RAE,417063
2012,RAJ,988321
2012,RAL,890864
2012,RAN,157818
2012,RAP,142954
2012,RAS,183529
2012,RAX,262539
2012,RBD,176523
2012,RBK,230996
2012,RBL,284213
2012,RBN,258063
2012,RBQ,49457
2012,RBS,291345
2012,RBT,206597
2012,RBV,91470
2012,RBZ,142814
2012,RC9,505243
2012,RCB,441016
2012,RCD,171284
2012,RCF,142961
2012,RCU,209974
2012,RCX,188389
2012,RD1,316894
2012,RD8,219851
2012,RDE,625902
2012,RDU,670992
2012,REF,393628
2012,REM,527818
2012,REN,11337
2012,REP,94423
2012,RET,43030
2012,RF4,452076
2012,RFF,170594
2012,RFR,227531
2012,RFS,219560
2012,RGM,126433
2012,RGN,460704
2012,RGP,179689
2012,RGR,209471
2012,RGT,592166
2012,RH5,296561
2012,RH8,405898
2012,RHM,636812
2012,RHQ,673298
2012,RHU,556527
2012,RHW,441497
2012,RJ1,1118063
2012,RJ2,302688
2012,RJ6,258675
2012,RJ7,495056
2012,RJC,199408
2012,RJE,533205
2012,RJL,338281
2012,RJN,147037
2012,RJR,183153
2012,RJZ,701512
2012,RK5,292825
2012,RK9,464883
2012,RKB,508956
2012,RKE,145191
2012,RL1,102383
2012,RL4,381158
2012,RLQ,158020
2012,RLT,135733
2012,RM1,592633
2012,RM3,387794
2012,RMC,289262
2012,RMP,217707
2012,RN3,310797
2012,RN5,410850
2012,RN7,206447
2012,RNA,310379
2012,RNN,257796
2012,RNQ,258324
2012,RNS,330590
2012,RNZ,249257
2012,RP4,378693
2012,RP5,375078
2012,RP6,213014
2012,RPA,296606
2012,RPC,196150
2012,RPY,103049
2012,RQ3,424736
2012,RQM,539722
2012,RQW,228535
2012,RQX,208658
2012,RR7,136445
2012,RR8,907740
2012,RRF,301739
2012,RRJ,135225
2012,RRK,1042951
2012,RRV,599085
2012,RTD,795251
2012,RTE,571428
2012,RTF,277733
2012,RTG,783369
2012,RTH,850724
2012,RTK,288293
2012,RTP,279497
2012,RTR,504700
2012,RTX,284047
2012,RVJ,506498
2012,RVR,380247
2012,RVV,587102
2012,RVW,233833
2012,RVY,147724
2012,RWA,533472
2012,RWD,476833
2012,RWE,931740
2012,RWF,402706
2012,RWG,336298
2012,RWH,348444
2012,RWJ,280147
2012,RWP,450107
2012,RWW,250583
2012,RWY,396569
2012,RX1,834633
2012,RXC,338621
2012,RXF,451663
2012,RXK,464981
2012,RXL,269965
2012,RXN,455464
2012,RXP,392106
2012,RXQ,389521
2012,RXR,427360
2012,RXW,339032
2012,RYJ,681602
2012,RYR,890931
2011,R0A,1294411
2011,R0B,464758
2011,R0D,513904
2011,R1H,1042437
2011,R1K,523208
2011,RA2,324254
2011,RA4,124397
2011,RA7,625191
2011,RA9,228263
2011,RAE,420321
2011,RAJ,988733
2011,RAL,927412
2011,RAN,149445
2011,RAP,133939
2011,RAS,178006
2011,RAX,261817
2011,RBD,176091
2011,RBK,230526
2011,RBL,283873
2011,RBN,250163
2011,RBQ,49227
2011,RBS,284341
2011,RBT,207855
2011,RBV,94891
2011,RBZ,139341
2011,RC9,499438
2011,RCB,435560
2011,RCD,169992
2011,RCF,145113
2011,RCU,199553
2011,RCX,187097
2011,RD1,316736
2011,RD8,218572
2011,RDE,624295
2011,RDU,662799
2011,REF,390679
2011,REM,525082
2011,REN,11338
2011,REP,95776
2011,RET,41031
2011,RF4,459804
2011,RFF,171246
2011,RFR,231099
2011,RFS,221480
2011,RGM,122826
2011,RGN,455085
2011,RGP,181442
2011,RGR,206837
2011,RGT,589729
2011,RH5,295412
2011,RH8,403030
2011,RHM,668569
2011,RHQ,664168
2011,RHU,574833
2011,RHW,442405
2011,RJ1,1068913
2011,RJ2,307600
2011,RJ6,260863
2011,RJ7,490750
2011,RJC,196152
2011,RJE,536169
2011,RJL,339911
2011,RJN,150674
2011,RJR,181692
2011,RJZ,701838
2011,RK5,291873
2011,RK9,463743
2011,RKB,512093
2011,RKE,145347
2011,RL1,102691
2011,RL4,377845
2011,RLQ,155172
2011,RLT,136458
2011,RM1,585720
2011,RM3,387922
2011,RMC,286079
2011,RMP,221372
2011,RN3,311818
2011,RN5,405282
2011,RN7,203437
2011,RNA,310505
2011,RNN,260487
2011,RNQ,253841
2011,RNS,330029
2011,RNZ,260208
2011,RP4,368186
2011,RP5,370161
2011,RP6,216103
2011,RPA,296120
2011,RPC,207426
2011,RPY,101979
2011,RQ3,407088
2011,RQM,524319
2011,RQW,232135
2011,RQX,199856
2011,RR7,127031
2011,RR8,895678
2011,RRF,302207
2011,RRJ,136774
2011,RRK,1043221
2011,RRV,548546
2011,RTD,783180
2011,RTE,572810
2011,RTF,278072
2011,RTG,762997
2011,RTH,829536
2011,RTK,285661
2011,RTP,272496
2011,RTR,507931
2011,RTX,287036
2011,RVJ,493393
2011,RVR,378602
2011,RVV,579112
2011,RVW,231270
2011,RVY,150329
2011,RWA,534592
2011,RWD,478280
2011,RWE,927145
2011,RWF,386329
2011,RWG,330726
2011,RWH,364926
2011,RWJ,286812
2011,RWP,441852
2011,RWW,256794
2011,RWY,389707
2011,RX1,829286
2011,RXC,341340
2011,RXF,456091
2011,RXK,471901
