"","date","trust_code","sick_ftes","total_ftes","sickness_rate"
"280",2009 Q3,"RC1",6636.79694,187122.22324,0.0354677110237609
"281",2009 Q3,"RC3",5740.92366,135329.02563,0.0424219684821801
"282",2009 Q3,"RC9",10592.08395,254725.95741,0.0415822716212281
"283",2009 Q3,"RCB",13209.17941,345272.5801,0.0382572499854297
"284",2009 Q3,"RCC",7499.64254,169778.15789,0.0441731883135347
"285",2009 Q3,"RCD",7942.1897,182291.75319,0.0435685628176606
"286",2009 Q3,"RCF",8220.21077,197591.05164,0.0416021408954125
"287",2009 Q3,"RCU",4376.78812,154516.1178,0.0283257706853932
"288",2009 Q3,"RCX",8261.22897,212198.66446,0.0389315785328954
"289",2009 Q3,"RD1",12004.87033,312518.41415,0.0384133215402725
"290",2009 Q3,"RD3",11188.10318,296453.59796,0.0377398124259217
"291",2009 Q3,"RD7",10418.08564,296247.85155,0.0351667888408016
"292",2009 Q3,"RD8",9579.23444,211368.24203,0.0453201216417384
"293",2009 Q3,"RDD",13139.74019,327084.8094,0.0401722727940297
"294",2009 Q3,"RDE",9234.10998,270096.59452,0.034188176257499
"295",2009 Q3,"RDR",3428.2745,104333.7157,0.032858740599804
"296",2009 Q3,"RDU",10375.31496,291604.70296,0.0355800673126428
"297",2009 Q3,"RDY",6611.7334,134585.11779,0.0491267794580128
"298",2009 Q3,"RDZ",15101.7165,335276.97571,0.0450425099069801
"299",2009 Q3,"RE9",8091.16222,154649.31506,0.0523194184006624
"300",2009 Q3,"REF",19921.92611,407164.1473,0.0489284880363532
"301",2009 Q3,"REM",19006.88911,374116.74995,0.0508046996359832
"302",2009 Q3,"REN",2506.12986,57556.04322,0.0435424278632335
"303",2009 Q3,"REP",6246.36451,117486.8829,0.0531664842560905
"304",2009 Q3,"RET",3156.40764,63641.64699,0.0495965737733966
"305",2009 Q3,"RF4",17821.40657,444982.30331,0.0400496973417493
"306",2009 Q3,"RFF",10283.29476,217416.02109,0.0472977782798408
"307",2009 Q3,"RFR",10339.85061,253874.74873,0.040728156942448
"308",2009 Q3,"RFW",4871.6285,159544.80065,0.0305345487922674
"309",2009 Q3,"RGC",11006.11742,268144.67983,0.0410454439259348
"310",2009 Q3,"RGD",10609.25079,202243.48473,0.0524578124440627
"311",2009 Q3,"RGM",5005.01167,130889.36881,0.0382384888513391
"312",2009 Q3,"RGN",9224.06885,271089.51515,0.0340259151848647
"313",2009 Q3,"RGP",9728.76172,228584.14026,0.04256096555489
"314",2009 Q3,"RGQ",9804.69601,288280.34486,0.0340109764152028
"315",2009 Q3,"RGR",8004.67215,211394.15666,0.037866099406307
"316",2009 Q3,"RGT",20440.12929,637836.65413,0.0320460248837221
"317",2009 Q3,"RH5",4702.06166,95322.79846,0.0493277761035636
"318",2009 Q3,"RH8",21007.33384,453011.97301,0.0463725797365101
"319",2009 Q3,"RHA",29841.46631,496297.24912,0.0601282122012822
"320",2009 Q3,"RHM",23340.77846,640542.85275,0.0364390584639148
"321",2009 Q3,"RHQ",49212.13087,1099337.97318,0.0447652424191684
"322",2009 Q3,"RHU",19059.8996,573507.01223,0.0332339434279771
"323",2009 Q3,"RHW",13718.84714,369750.93837,0.0371029406996985
"324",2009 Q3,"RHX",4481.04263,91680.63934,0.0488766511911194
"325",2009 Q3,"RJ1",33930.67617,870806.40689,0.0389646606886829
"326",2009 Q3,"RJ2",8652.32506,196463.25485,0.0440404240813686
"327",2009 Q3,"RJ6",8421.00663,219443.04694,0.0383744518107355
"328",2009 Q3,"RJ7",19517.82934,518073.46223,0.0376738643511816
"329",2009 Q3,"RJ8",6562.54177,115769.79308,0.056686131981467
"330",2009 Q3,"RJC",6762.97497,156262.44218,0.0432795934560505
"331",2009 Q3,"RJD",10185.29411,213319.19261,0.0477467310155314
"332",2009 Q3,"RJE",27974.50113,574745.89289,0.0486728160671763
"333",2009 Q3,"RJF",8909.09734,205826.1348,0.0432845777755916
"334",2009 Q3,"RJL",18853.58419,451375.80279,0.0417691512780793
"335",2009 Q3,"RJN",7100.85741,161219.38868,0.0440446863627197
"336",2009 Q3,"RJR",11357.14932,260539.99238,0.0435908100566591
"337",2009 Q3,"RJX",9372.05769,138519.84264,0.0676585932483124
"338",2009 Q3,"RJZ",15643.69739,562468.37485,0.0278125812747639
"339",2009 Q3,"RK5",16885.08764,323854.64128,0.0521378590507875
"340",2009 Q3,"RK9",22888.4532,507634.81945,0.0450884224703078
"341",2009 Q3,"RKB",23017.27157,529811.0906,0.0434442992575588
"342",2009 Q3,"RKE",6678.83376,206959.26134,0.0322712485382704
"343",2009 Q3,"RKL",16944.72702,340486.94193,0.0497661582084509
"344",2009 Q3,"RL1",3843.37571,90354.96334,0.0425364093783938
"345",2009 Q3,"RL4",15687.75308,384428.01722,0.0408080378569865
"346",2009 Q3,"RLN",19042.63255,403804.97228,0.0471579942230027
"347",2009 Q3,"RLQ",5124.56225,135144.34652,0.0379191759178888
"348",2009 Q3,"RLT",6798.13926,149422.41472,0.0454961143061361
"349",2009 Q3,"RLU",5123.85879,124007.86957,0.0413188195859432
"350",2009 Q3,"RLY",7983.62012,166330.04534,0.0479986649656738
"351",2009 Q3,"RM1",18332.05084,480283.08766,0.0381692616521562
"352",2009 Q3,"RM2",19066.41157,376215.88857,0.050679442706345
"353",2009 Q3,"RM3",17735.58322,405883.90966,0.0436961968629323
"354",2009 Q3,"RM4",6687.96809,138693.16797,0.0482213232842633
"355",2009 Q3,"RMC",14429.56394,286727.39876,0.0503250264969551
"356",2009 Q3,"RMP",6741.93051,186593.73576,0.0361316015381759
"357",2009 Q3,"RMY",11551.60587,206960.96538,0.0558153845523002
"358",2009 Q3,"RN1",6919.46917,209609.77793,0.0330111946032918
"359",2009 Q3,"RN3",11184.58121,242227.5986,0.0461738516776924
"360",2009 Q3,"RN5",8602.68544,213470.96744,0.0402990886450072
"361",2009 Q3,"RN7",5643.94609,159096.9362,0.0354748886107085
"362",2009 Q3,"RNA",11021.11879,283265.71314,0.0389073519270332
"363",2009 Q3,"RNH",7709.97849,210487.47377,0.0366291558918357
"364",2009 Q3,"RNJ",18068.86618,589489.12869,0.0306517377515575
"365",2009 Q3,"RNK",648.6489,35992.33592,0.0180218616941604
"366",2009 Q3,"RNL",15602.40763,283302.11354,0.0550733894464824
"367",2009 Q3,"RNN",5524.84501,113705.24329,0.048589184193636
"368",2009 Q3,"RNQ",12689.36951,270030.30137,0.0469923910228609
"369",2009 Q3,"RNS",15146.25039,324646.42986,0.0466546032757287
"370",2009 Q3,"RNU",9189.92953,221344.29904,0.0415187089518816
"371",2009 Q3,"RNZ",9914.5548,256399.82086,0.0386683374689781
"372",2009 Q3,"RP1",8186.06123,166140.04775,0.0492720529508816
"373",2009 Q3,"RP4",8353.31373,295971.93807,0.0282233301726881
"374",2009 Q3,"RP5",19667.75824,481730.22922,0.0408273283406883
"375",2009 Q3,"RP7",7481.4281,154766.987,0.0483399479761146
"376",2009 Q3,"RPA",11605.24072,298130.15658,0.0389267588798447
"377",2009 Q3,"RPC",2493.6945,74833.02549,0.0333234488873263
"378",2009 Q3,"RPG",8188.96405,163138.43442,0.0501964118946827
"379",2009 Q3,"RPY",5563.16531,211273.8022,0.0263315434856125
"380",2009 Q3,"RQ3",8855.66501,239377.21485,0.0369946029138537
"381",2009 Q3,"RQ6",22294.50804,509934.99737,0.0437202940668602
"382",2009 Q3,"RQ8",13271.71515,294040.4171,0.045135683321679
"383",2009 Q3,"RQM",6499.05229,248422.77903,0.0261612574956951
"384",2009 Q3,"RQQ",5044.43126,130319.29252,0.0387082462040364
"385",2009 Q3,"RQW",9829.93612,235454.55804,0.0417487612124716
