,cal_quarter,PROCODE,los_unadjusted
595,Q1   2022,RXP,6.90234294
596,Q1   2022,RXQ,9.465731463
597,Q1   2022,RXR,8.115375854
598,Q1   2022,RXW,6.983667323
599,Q1   2022,RYJ,7.867530735
600,Q1   2022,RYR,8.622581218
601,Q1   2023,R0A,9.994666667
602,Q1   2023,R0B,9.064412708
603,Q1   2023,R0D,8.308112324
604,Q1   2023,R1F,9.636954503
605,Q1   2023,R1H,9.505975328
606,Q1   2023,R1K,7.748618057
607,Q1   2023,RA2,8.108840061
608,Q1   2023,RA4,9.978165939
609,Q1   2023,RA7,7.854096863
610,Q1   2023,RA9,8.516232038
611,Q1   2023,RAE,7.213401311
612,Q1   2023,RAJ,8.598476136
613,Q1   2023,RAL,9.253329555
614,Q1   2023,RAP,11.57131474
615,Q1   2023,RAS,7.933499584
616,Q1   2023,RAX,8.759310345
617,Q1   2023,RBK,7.733931241
618,Q1   2023,RBL,8.996669442
619,Q1   2023,RBN,8.026210411
620,Q1   2023,RBT,9.391782407
621,Q1   2023,RC9,7.325888325
622,Q1   2023,RCB,8.175981657
623,Q1   2023,RCD,8.274954628
624,Q1   2023,RCF,7.578030303
625,Q1   2023,RCX,10.59567497
626,Q1   2023,RD1,7.086256707
627,Q1   2023,RD8,7.973431317
628,Q1   2023,RDE,7.750706368
629,Q1   2023,REF,8.129864636
630,Q1   2023,REM,10.9450727
631,Q1   2023,RF4,8.134730539
632,Q1   2023,RFF,6.882232463
633,Q1   2023,RFR,6.633579725
634,Q1   2023,RFS,7.248902546
635,Q1   2023,RGN,8.5776
636,Q1   2023,RGP,10.18703428
637,Q1   2023,RGR,8.350311262
638,Q1   2023,RGT,9.662247475
639,Q1   2023,RH5,11.56593169
640,Q1   2023,RH8,8.200304646
641,Q1   2023,RHM,7.837070611
642,Q1   2023,RHQ,7.948437224
643,Q1   2023,RHU,7.701596806
644,Q1   2023,RHW,6.763466991
645,Q1   2023,RJ1,7.278115062
646,Q1   2023,RJ2,9.105590062
647,Q1   2023,RJ6,9.467254408
648,Q1   2023,RJ7,9.27764977
649,Q1   2023,RJC,7.49626401
650,Q1   2023,RJE,7.454451131
651,Q1   2023,RJL,7.400320256
652,Q1   2023,RJN,10.67106843
653,Q1   2023,RJR,9.742162508
654,Q1   2023,RJZ,9.68819939
655,Q1   2023,RK5,9.1
656,Q1   2023,RK9,9.781639344
657,Q1   2023,RKB,7.712432697
658,Q1   2023,RKE,10.22176309
659,Q1   2023,RL4,6.812640449
660,Q1   2023,RLQ,9.107327905
661,Q1   2023,RLT,8.634789777
662,Q1   2023,RM1,8.174130664
663,Q1   2023,RM3,8.75145518
664,Q1   2023,RMC,9.131346578
665,Q1   2023,RMP,8.101906158
666,Q1   2023,RN3,7.870151771
667,Q1   2023,RN5,7.624677835
668,Q1   2023,RN7,8.883846569
669,Q1   2023,RNA,8.508489334
670,Q1   2023,RNN,10.63035804
671,Q1   2023,RNQ,8.549089069
672,Q1   2023,RNS,9.29312115
673,Q1   2023,RNZ,10.07947977
674,Q1   2023,RP5,8.48838897
675,Q1   2023,RPA,9.197879859
676,Q1   2023,RQM,8.876024225
677,Q1   2023,RQW,8.533508541
678,Q1   2023,RQX,7.083333333
679,Q1   2023,RR7,8.965753425
680,Q1   2023,RR8,9.68629832
681,Q1   2023,RRF,7.883495146
682,Q1   2023,RRK,7.903976921
683,Q1   2023,RRV,6.865172087
684,Q1   2023,RTD,8.460654936
685,Q1   2023,RTE,8.423469388
686,Q1   2023,RTF,7.274339136
687,Q1   2023,RTG,7.933490823
688,Q1   2023,RTH,7.027568383
689,Q1   2023,RTK,7.129619711
690,Q1   2023,RTP,9.119551681
691,Q1   2023,RTR,8.192271736
692,Q1   2023,RTX,9.509379509
693,Q1   2023,RVJ,8.532547865
694,Q1   2023,RVR,8.949360614
695,Q1   2023,RVV,10.45256917
696,Q1   2023,RVW,6.165911898
697,Q1   2023,RVY,9.20804331
698,Q1   2023,RWA,8.441091954
699,Q1   2023,RWD,8.250417362
700,Q1   2023,RWE,7.194412107
701,Q1   2023,RWF,7.328268551
702,Q1   2023,RWG,7.99922179
703,Q1   2023,RWH,7.262510975
704,Q1   2023,RWJ,8.851299326
705,Q1   2023,RWP,7.434998346
706,Q1   2023,RWW,10.08333333
707,Q1   2023,RWY,6.76144036
708,Q1   2023,RX1,8.535801541
709,Q1   2023,RXC,9.730146187
710,Q1   2023,RXF,7.935483871
711,Q1   2023,RXK,6.552442774
712,Q1   2023,RXL,10.16808424
713,Q1   2023,RXN,9.063784115
714,Q1   2023,RXP,8.219546742
715,Q1   2023,RXQ,10.72972973
716,Q1   2023,RXR,8.641377005
717,Q1   2023,RXW,7.341872233
718,Q1   2023,RYJ,8.333799273
719,Q1   2023,RYR,10.54257391
720,Q2   2018,R0A,7.796726158
721,Q2   2018,R1F,8.458461538
722,Q2   2018,R1H,6.644148909
723,Q2   2018,R1K,7.485041167
724,Q2   2018,RA2,6.044773578
725,Q2   2018,RA4,6.510165356
726,Q2   2018,RA7,6.649800266
727,Q2   2018,RA9,6.140660045
